[2024-01-31 06:48:43,439] [openicl.icl_retriever.icl_random_retriever] [INFO] Retrieving data for test set...
 53%|█████▎    | 68/128 [01:49<01:38,  1.64s/it]
 54%|█████▍    | 69/128 [01:50<01:36,  1.63s/it]
 55%|█████▍    | 70/128 [01:52<01:31,  1.59s/it]
 55%|█████▌    | 71/128 [01:53<01:28,  1.56s/it]
 56%|█████▋    | 72/128 [01:55<01:25,  1.53s/it]
 57%|█████▋    | 73/128 [01:56<01:23,  1.52s/it]
 58%|█████▊    | 74/128 [01:58<01:21,  1.50s/it]
 59%|█████▊    | 75/128 [01:59<01:21,  1.54s/it]
 59%|█████▉    | 76/128 [02:01<01:21,  1.57s/it]
 60%|██████    | 77/128 [02:02<01:20,  1.57s/it]
 61%|██████    | 78/128 [02:04<01:19,  1.58s/it]
 62%|██████▏   | 79/128 [02:06<01:18,  1.60s/it]
 62%|██████▎   | 80/128 [02:07<01:16,  1.59s/it]
 63%|██████▎   | 81/128 [02:09<01:15,  1.61s/it]
 64%|██████▍   | 82/128 [02:10<01:13,  1.60s/it]
 65%|██████▍   | 83/128 [02:12<01:11,  1.59s/it]
 66%|██████▌   | 84/128 [02:14<01:09,  1.57s/it]
 66%|██████▋   | 85/128 [02:15<01:08,  1.59s/it]
 67%|██████▋   | 86/128 [02:17<01:05,  1.56s/it]
 68%|██████▊   | 87/128 [02:18<01:03,  1.56s/it]
 69%|██████▉   | 88/128 [02:20<01:01,  1.53s/it]
 70%|██████▉   | 89/128 [02:21<01:00,  1.56s/it]
 70%|███████   | 90/128 [02:23<01:01,  1.62s/it]
 71%|███████   | 91/128 [02:25<01:00,  1.63s/it]
 72%|███████▏  | 92/128 [02:26<00:58,  1.63s/it]
 73%|███████▎  | 93/128 [02:28<00:56,  1.62s/it]
 73%|███████▎  | 94/128 [02:30<00:55,  1.62s/it]
 74%|███████▍  | 95/128 [02:31<00:52,  1.59s/it]
 75%|███████▌  | 96/128 [02:33<00:51,  1.60s/it]
 76%|███████▌  | 97/128 [02:34<00:50,  1.62s/it]
 77%|███████▋  | 98/128 [02:36<00:47,  1.59s/it]
 77%|███████▋  | 99/128 [02:38<00:47,  1.62s/it]
 78%|███████▊  | 100/128 [02:39<00:44,  1.60s/it]
 79%|███████▉  | 101/128 [02:41<00:43,  1.60s/it]
 80%|███████▉  | 102/128 [02:42<00:42,  1.64s/it]
 80%|████████  | 103/128 [02:44<00:40,  1.62s/it]
 81%|████████▏ | 104/128 [02:46<00:38,  1.59s/it]
 82%|████████▏ | 105/128 [02:47<00:36,  1.57s/it]
 83%|████████▎ | 106/128 [02:49<00:34,  1.56s/it]
 84%|████████▎ | 107/128 [02:50<00:32,  1.57s/it]
 84%|████████▍ | 108/128 [02:52<00:31,  1.59s/it]
 85%|████████▌ | 109/128 [02:53<00:29,  1.57s/it]
 86%|████████▌ | 110/128 [02:55<00:28,  1.59s/it]
 87%|████████▋ | 111/128 [02:57<00:27,  1.59s/it]
 88%|████████▊ | 112/128 [02:58<00:25,  1.61s/it]
 88%|████████▊ | 113/128 [03:00<00:23,  1.58s/it]
 89%|████████▉ | 114/128 [03:01<00:22,  1.60s/it]
 90%|████████▉ | 115/128 [03:03<00:20,  1.58s/it]
 91%|█████████ | 116/128 [03:04<00:18,  1.57s/it]
 91%|█████████▏| 117/128 [03:06<00:16,  1.55s/it]
 92%|█████████▏| 118/128 [03:07<00:15,  1.53s/it]
 93%|█████████▎| 119/128 [03:09<00:14,  1.57s/it]
 94%|█████████▍| 120/128 [03:11<00:13,  1.65s/it]
 95%|█████████▍| 121/128 [03:13<00:11,  1.64s/it]
 95%|█████████▌| 122/128 [03:14<00:10,  1.68s/it]
 96%|█████████▌| 123/128 [03:16<00:08,  1.67s/it]
 97%|█████████▋| 124/128 [03:18<00:06,  1.63s/it]
 98%|█████████▊| 125/128 [03:19<00:04,  1.61s/it]
 98%|█████████▊| 126/128 [03:21<00:03,  1.58s/it]
 99%|█████████▉| 127/128 [03:22<00:01,  1.62s/it]
100%|██████████| 128/128 [03:24<00:00,  1.60s/it]
100%|██████████| 128/128 [03:24<00:00,  1.60s/it]
[2024-01-31 08:02:38,333] [openicl.icl_retriever.icl_random_retriever] [INFO] Retrieving data for test set...
[4, 3, 4, 3, 4, 3, 3, 4, 3, 2, 4, 4, 3, 4, 4, 2, 4, 2, 3, 3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 3, 3, 2, 3, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 4, 3, 4, 3, 3, 2, 3, 4, 3, 4, 3, 2, 4, 2, 2, 4, 3, 3, 2, 4, 4, 4, 2, 3, 3, 3, 3, 3, 2, 3, 2, 3, 4, 3, 3, 4, 4, 3, 3, 3, 3, 2, 4, 2, 4, 4, 2, 2, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 4, 3, 4, 3, 2, 3, 4, 3, 4, 3, 2, 3, 4, 2, 3, 3, 2, 3, 2, 2, 3, 4, 2, 3, 3, 3]
[1, 4, 4, 4, 1, 3, 3, 1, 3, 1, 4, 4, 3, 4, 4, 2, 4, 2, 4, 3, 2, 2, 3, 2, 4, 2, 3, 2, 2, 3, 1, 3, 2, 1, 2, 2, 4, 1, 1, 4, 1, 1, 3, 2, 1, 1, 4, 3, 1, 2, 3, 1, 3, 1, 3, 2, 4, 2, 2, 4, 3, 3, 2, 1, 4, 3, 2, 4, 3, 4, 1, 4, 2, 1, 1, 4, 1, 3, 4, 4, 4, 1, 4, 1, 3, 2, 3, 2, 4, 4, 2, 2, 1, 3, 2, 1, 1, 2, 4, 3, 2, 3, 4, 4, 1, 4, 2, 1, 4, 3, 4, 3, 2, 4, 1, 2, 3, 1, 2, 3, 2, 1, 3, 4, 2, 3, 3, 1]
Acc:  0.609375
F1:  0.5246829710144928

  0%|          | 0/128 [00:00<?, ?it/s]
  4%|▍         | 5/128 [00:00<00:02, 46.17it/s]
 29%|██▉       | 37/128 [00:00<00:00, 198.84it/s]
 53%|█████▎    | 68/128 [00:00<00:00, 246.92it/s]
 77%|███████▋  | 99/128 [00:00<00:00, 267.51it/s]
100%|██████████| 128/128 [00:00<00:00, 250.17it/s]

  0%|          | 0/128 [00:00<?, ?it/s]
  1%|          | 1/128 [00:01<03:25,  1.62s/it]
  2%|▏         | 2/128 [00:03<03:21,  1.60s/it]
  2%|▏         | 3/128 [00:04<03:18,  1.58s/it]
  3%|▎         | 4/128 [00:06<03:15,  1.57s/it]
  4%|▍         | 5/128 [00:08<03:26,  1.68s/it]
  5%|▍         | 6/128 [00:09<03:16,  1.61s/it]
  5%|▌         | 7/128 [00:11<03:12,  1.59s/it]
  6%|▋         | 8/128 [00:12<03:09,  1.58s/it]
  7%|▋         | 9/128 [00:14<03:03,  1.54s/it]
  8%|▊         | 10/128 [00:15<02:59,  1.52s/it]
  9%|▊         | 11/128 [00:17<02:55,  1.50s/it]
  9%|▉         | 12/128 [00:18<02:57,  1.53s/it]
 10%|█         | 13/128 [00:20<02:56,  1.54s/it]
 11%|█         | 14/128 [00:21<02:58,  1.56s/it]
 12%|█▏        | 15/128 [00:23<02:57,  1.57s/it]
 12%|█▎        | 16/128 [00:25<02:58,  1.59s/it]
 13%|█▎        | 17/128 [00:26<02:58,  1.61s/it]
 14%|█▍        | 18/128 [00:28<02:53,  1.58s/it]
 15%|█▍        | 19/128 [00:29<02:48,  1.55s/it]
 16%|█▌        | 20/128 [00:31<02:47,  1.55s/it]
 16%|█▋        | 21/128 [00:32<02:46,  1.56s/it]
 17%|█▋        | 22/128 [00:34<02:46,  1.57s/it]
 18%|█▊        | 23/128 [00:36<02:43,  1.56s/it]
 19%|█▉        | 24/128 [00:37<02:41,  1.56s/it]
 20%|█▉        | 25/128 [00:39<02:42,  1.58s/it]
 20%|██        | 26/128 [00:40<02:43,  1.61s/it]
 21%|██        | 27/128 [00:42<02:44,  1.63s/it]
 22%|██▏       | 28/128 [00:44<02:40,  1.61s/it]
 23%|██▎       | 29/128 [00:45<02:40,  1.62s/it]
 23%|██▎       | 30/128 [00:47<02:35,  1.59s/it]
 24%|██▍       | 31/128 [00:48<02:33,  1.58s/it]
 25%|██▌       | 32/128 [00:50<02:30,  1.57s/it]
 26%|██▌       | 33/128 [00:52<02:29,  1.58s/it]
 27%|██▋       | 34/128 [00:53<02:28,  1.58s/it]
 27%|██▋       | 35/128 [00:55<02:26,  1.58s/it]
 28%|██▊       | 36/128 [00:56<02:24,  1.57s/it]
 29%|██▉       | 37/128 [00:58<02:23,  1.58s/it]
 30%|██▉       | 38/128 [01:00<02:26,  1.63s/it]
 30%|███       | 39/128 [01:01<02:22,  1.60s/it]
 31%|███▏      | 40/128 [01:03<02:20,  1.59s/it]
 32%|███▏      | 41/128 [01:04<02:17,  1.58s/it]
 33%|███▎      | 42/128 [01:06<02:17,  1.60s/it]
 34%|███▎      | 43/128 [01:07<02:16,  1.61s/it]
 34%|███▍      | 44/128 [01:09<02:15,  1.62s/it]
 35%|███▌      | 45/128 [01:11<02:13,  1.61s/it]
 36%|███▌      | 46/128 [01:12<02:14,  1.64s/it]
 37%|███▋      | 47/128 [01:14<02:12,  1.64s/it]
 38%|███▊      | 48/128 [01:16<02:10,  1.63s/it]
 38%|███▊      | 49/128 [01:17<02:07,  1.61s/it]
 39%|███▉      | 50/128 [01:19<02:07,  1.64s/it]
 40%|███▉      | 51/128 [01:21<02:07,  1.65s/it]
 41%|████      | 52/128 [01:22<02:03,  1.63s/it]
 41%|████▏     | 53/128 [01:24<02:02,  1.63s/it]
 42%|████▏     | 54/128 [01:25<02:01,  1.64s/it]
 43%|████▎     | 55/128 [01:27<01:58,  1.62s/it]
 44%|████▍     | 56/128 [01:29<01:53,  1.58s/it]
 45%|████▍     | 57/128 [01:30<01:54,  1.61s/it]
 45%|████▌     | 58/128 [01:32<01:53,  1.63s/it]
 46%|████▌     | 59/128 [01:34<01:52,  1.63s/it]
 47%|████▋     | 60/128 [01:35<01:48,  1.59s/it]
 48%|████▊     | 61/128 [01:37<01:46,  1.58s/it]
 48%|████▊     | 62/128 [01:38<01:43,  1.57s/it]
 49%|████▉     | 63/128 [01:40<01:43,  1.59s/it]
 50%|█████     | 64/128 [01:41<01:40,  1.57s/it]
 51%|█████     | 65/128 [01:43<01:39,  1.58s/it]
 52%|█████▏    | 66/128 [01:45<01:39,  1.60s/it]
 52%|█████▏    | 67/128 [01:46<01:36,  1.57s/it]
 53%|█████▎    | 68/128 [01:48<01:33,  1.57s/it]
 54%|█████▍    | 69/128 [01:49<01:31,  1.55s/it]
 55%|█████▍    | 70/128 [01:51<01:30,  1.57s/it]
 55%|█████▌    | 71/128 [01:52<01:29,  1.56s/it]
 56%|█████▋    | 72/128 [01:54<01:28,  1.59s/it]
 57%|█████▋    | 73/128 [01:55<01:25,  1.56s/it]
 58%|█████▊    | 74/128 [01:57<01:24,  1.56s/it]
 59%|█████▊    | 75/128 [01:59<01:26,  1.62s/it]
 59%|█████▉    | 76/128 [02:00<01:23,  1.61s/it]
 60%|██████    | 77/128 [02:02<01:20,  1.57s/it]
 61%|██████    | 78/128 [02:03<01:17,  1.56s/it]
 62%|██████▏   | 79/128 [02:05<01:15,  1.54s/it]
 62%|██████▎   | 80/128 [02:06<01:14,  1.55s/it]
 63%|██████▎   | 81/128 [02:08<01:16,  1.63s/it]
 64%|██████▍   | 82/128 [02:10<01:14,  1.62s/it]
 65%|██████▍   | 83/128 [02:11<01:12,  1.61s/it]
 66%|██████▌   | 84/128 [02:13<01:10,  1.60s/it]
 66%|██████▋   | 85/128 [02:15<01:09,  1.61s/it]
 67%|██████▋   | 86/128 [02:16<01:07,  1.61s/it]
 68%|██████▊   | 87/128 [02:18<01:06,  1.61s/it]
 69%|██████▉   | 88/128 [02:19<01:04,  1.61s/it]
 70%|██████▉   | 89/128 [02:21<01:02,  1.60s/it]
 70%|███████   | 90/128 [02:23<00:59,  1.57s/it]
 71%|███████   | 91/128 [02:24<00:57,  1.55s/it]
 72%|███████▏  | 92/128 [02:26<00:55,  1.53s/it]
 73%|███████▎  | 93/128 [02:27<00:54,  1.57s/it]
 73%|███████▎  | 94/128 [02:29<00:53,  1.58s/it]
 74%|███████▍  | 95/128 [02:30<00:52,  1.59s/it]
 75%|███████▌  | 96/128 [02:32<00:51,  1.60s/it]
 76%|███████▌  | 97/128 [02:34<00:49,  1.58s/it]
 77%|███████▋  | 98/128 [02:35<00:48,  1.60s/it]
 77%|███████▋  | 99/128 [02:37<00:45,  1.56s/it]
 78%|███████▊  | 100/128 [02:38<00:44,  1.59s/it]
 79%|███████▉  | 101/128 [02:40<00:43,  1.61s/it]
 80%|███████▉  | 102/128 [02:42<00:42,  1.65s/it]
 80%|████████  | 103/128 [02:43<00:40,  1.63s/it]
 81%|████████▏ | 104/128 [02:45<00:39,  1.63s/it]
 82%|████████▏ | 105/128 [02:46<00:36,  1.59s/it]
 83%|████████▎ | 106/128 [02:48<00:34,  1.59s/it]
 84%|████████▎ | 107/128 [02:50<00:33,  1.58s/it]
 84%|████████▍ | 108/128 [02:51<00:31,  1.60s/it]
 85%|████████▌ | 109/128 [02:53<00:29,  1.56s/it]
 86%|████████▌ | 110/128 [02:54<00:28,  1.56s/it]
 87%|████████▋ | 111/128 [02:56<00:26,  1.54s/it]
 88%|████████▊ | 112/128 [02:57<00:24,  1.55s/it]
 88%|████████▊ | 113/128 [02:59<00:23,  1.57s/it]
 89%|████████▉ | 114/128 [03:00<00:21,  1.56s/it]
 90%|████████▉ | 115/128 [03:02<00:20,  1.57s/it]
 91%|█████████ | 116/128 [03:04<00:18,  1.58s/it]
 91%|█████████▏| 117/128 [03:05<00:17,  1.60s/it]
 92%|█████████▏| 118/128 [03:07<00:15,  1.58s/it]
 93%|█████████▎| 119/128 [03:08<00:14,  1.57s/it]
 94%|█████████▍| 120/128 [03:10<00:12,  1.61s/it]
 95%|█████████▍| 121/128 [03:12<00:11,  1.62s/it]
 95%|█████████▌| 122/128 [03:13<00:09,  1.60s/it]
 96%|█████████▌| 123/128 [03:15<00:07,  1.58s/it]
 97%|█████████▋| 124/128 [03:17<00:06,  1.62s/it]
 98%|█████████▊| 125/128 [03:18<00:04,  1.59s/it]
 98%|█████████▊| 126/128 [03:20<00:03,  1.58s/it]
 99%|█████████▉| 127/128 [03:21<00:01,  1.57s/it]
100%|██████████| 128/128 [03:23<00:00,  1.59s/it]
100%|██████████| 128/128 [03:23<00:00,  1.59s/it]
[2024-01-31 08:07:13,656] [openicl.icl_retriever.icl_random_retriever] [INFO] Retrieving data for test set...
[3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 4, 4, 2, 4, 2, 3, 3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 3, 4, 2, 3, 2, 2, 3, 3, 3, 3, 2, 4, 3, 2, 3, 4, 4, 3, 3, 2, 3, 4, 3, 3, 3, 2, 4, 2, 2, 4, 3, 3, 2, 4, 4, 4, 2, 3, 3, 3, 3, 3, 2, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 2, 3, 2, 3, 4, 2, 2, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 4, 3, 3, 4, 2, 4, 4, 3, 4, 3, 2, 3, 4, 2, 3, 3, 2, 3, 2, 2, 3, 4, 2, 3, 3, 2]
[1, 4, 4, 4, 1, 3, 3, 1, 3, 1, 4, 4, 3, 4, 4, 2, 4, 2, 4, 3, 2, 2, 3, 2, 4, 2, 3, 2, 2, 3, 1, 3, 2, 1, 2, 2, 4, 1, 1, 4, 1, 1, 3, 2, 1, 1, 4, 3, 1, 2, 3, 1, 3, 1, 3, 2, 4, 2, 2, 4, 3, 3, 2, 1, 4, 3, 2, 4, 3, 4, 1, 4, 2, 1, 1, 4, 1, 3, 4, 4, 4, 1, 4, 1, 3, 2, 3, 2, 4, 4, 2, 2, 1, 3, 2, 1, 1, 2, 4, 3, 2, 3, 4, 4, 1, 4, 2, 1, 4, 3, 4, 3, 2, 4, 1, 2, 3, 1, 2, 3, 2, 1, 3, 4, 2, 3, 3, 1]
Acc:  0.625
F1:  0.5403540597408216

  0%|          | 0/128 [00:00<?, ?it/s]
 26%|██▌       | 33/128 [00:00<00:00, 328.40it/s]
 52%|█████▏    | 67/128 [00:00<00:00, 327.69it/s]
 78%|███████▊  | 100/128 [00:00<00:00, 316.37it/s]
100%|██████████| 128/128 [00:00<00:00, 325.14it/s]

  0%|          | 0/128 [00:00<?, ?it/s]
  1%|          | 1/128 [00:01<03:15,  1.54s/it]
  2%|▏         | 2/128 [00:03<03:16,  1.56s/it]
  2%|▏         | 3/128 [00:04<03:22,  1.62s/it]
  3%|▎         | 4/128 [00:06<03:15,  1.57s/it]
  4%|▍         | 5/128 [00:07<03:17,  1.60s/it]
  5%|▍         | 6/128 [00:09<03:20,  1.64s/it]
  5%|▌         | 7/128 [00:11<03:19,  1.64s/it]
  6%|▋         | 8/128 [00:12<03:10,  1.59s/it]
  7%|▋         | 9/128 [00:14<03:11,  1.61s/it]
  8%|▊         | 10/128 [00:15<03:06,  1.58s/it]
  9%|▊         | 11/128 [00:17<03:05,  1.58s/it]
  9%|▉         | 12/128 [00:19<03:03,  1.58s/it]
 10%|█         | 13/128 [00:20<03:00,  1.57s/it]
 11%|█         | 14/128 [00:22<02:59,  1.57s/it]
 12%|█▏        | 15/128 [00:23<02:55,  1.55s/it]
 12%|█▎        | 16/128 [00:25<02:52,  1.54s/it]
 13%|█▎        | 17/128 [00:26<02:54,  1.57s/it]
 14%|█▍        | 18/128 [00:28<02:54,  1.59s/it]
 15%|█▍        | 19/128 [00:30<02:51,  1.58s/it]
 16%|█▌        | 20/128 [00:31<02:49,  1.57s/it]
 16%|█▋        | 21/128 [00:33<02:46,  1.56s/it]
 17%|█▋        | 22/128 [00:34<02:48,  1.59s/it]
 18%|█▊        | 23/128 [00:36<02:43,  1.55s/it]
 19%|█▉        | 24/128 [00:37<02:40,  1.55s/it]
 20%|█▉        | 25/128 [00:39<02:41,  1.57s/it]
 20%|██        | 26/128 [00:41<02:42,  1.59s/it]
 21%|██        | 27/128 [00:42<02:39,  1.57s/it]
 22%|██▏       | 28/128 [00:44<02:36,  1.57s/it]
 23%|██▎       | 29/128 [00:45<02:34,  1.56s/it]
 23%|██▎       | 30/128 [00:47<02:32,  1.55s/it]
 24%|██▍       | 31/128 [00:48<02:30,  1.55s/it]
 25%|██▌       | 32/128 [00:50<02:26,  1.53s/it]
 26%|██▌       | 33/128 [00:51<02:30,  1.58s/it]
 27%|██▋       | 34/128 [00:53<02:27,  1.57s/it]
 27%|██▋       | 35/128 [00:55<02:23,  1.55s/it]
 28%|██▊       | 36/128 [00:56<02:20,  1.52s/it]
 29%|██▉       | 37/128 [00:58<02:18,  1.52s/it]
 30%|██▉       | 38/128 [00:59<02:17,  1.53s/it]
 30%|███       | 39/128 [01:01<02:19,  1.57s/it]
 31%|███▏      | 40/128 [01:02<02:17,  1.57s/it]
 32%|███▏      | 41/128 [01:04<02:17,  1.58s/it]
 33%|███▎      | 42/128 [01:06<02:17,  1.60s/it]
 34%|███▎      | 43/128 [01:07<02:15,  1.59s/it]
 34%|███▍      | 44/128 [01:09<02:10,  1.56s/it]
 35%|███▌      | 45/128 [01:10<02:11,  1.59s/it]
 36%|███▌      | 46/128 [01:12<02:07,  1.56s/it]
 37%|███▋      | 47/128 [01:13<02:07,  1.57s/it]
 38%|███▊      | 48/128 [01:15<02:09,  1.62s/it]
 38%|███▊      | 49/128 [01:17<02:08,  1.63s/it]
 39%|███▉      | 50/128 [01:18<02:08,  1.65s/it]
 40%|███▉      | 51/128 [01:20<02:05,  1.63s/it]
 41%|████      | 52/128 [01:22<02:01,  1.60s/it]
 41%|████▏     | 53/128 [01:23<02:01,  1.62s/it]
 42%|████▏     | 54/128 [01:25<01:59,  1.62s/it]
 43%|████▎     | 55/128 [01:26<01:56,  1.59s/it]
 44%|████▍     | 56/128 [01:28<01:55,  1.60s/it]
 45%|████▍     | 57/128 [01:29<01:51,  1.58s/it]
 45%|████▌     | 58/128 [01:31<01:53,  1.62s/it]
 46%|████▌     | 59/128 [01:33<01:53,  1.65s/it]
 47%|████▋     | 60/128 [01:35<01:53,  1.67s/it]
 48%|████▊     | 61/128 [01:36<01:50,  1.64s/it]
 48%|████▊     | 62/128 [01:38<01:48,  1.65s/it]
 49%|████▉     | 63/128 [01:39<01:44,  1.61s/it]
 50%|█████     | 64/128 [01:41<01:43,  1.61s/it]
 51%|█████     | 65/128 [01:43<01:42,  1.62s/it]
 52%|█████▏    | 66/128 [01:44<01:38,  1.59s/it]
 52%|█████▏    | 67/128 [01:46<01:36,  1.58s/it]
 53%|█████▎    | 68/128 [01:47<01:36,  1.60s/it]
 54%|█████▍    | 69/128 [01:49<01:33,  1.58s/it]
 55%|█████▍    | 70/128 [01:51<01:33,  1.60s/it]
 55%|█████▌    | 71/128 [01:52<01:30,  1.59s/it]
 56%|█████▋    | 72/128 [01:54<01:27,  1.56s/it]
 57%|█████▋    | 73/128 [01:55<01:25,  1.55s/it]
 58%|█████▊    | 74/128 [01:57<01:22,  1.53s/it]
 59%|█████▊    | 75/128 [01:58<01:21,  1.54s/it]
 59%|█████▉    | 76/128 [02:00<01:21,  1.56s/it]
 60%|██████    | 77/128 [02:01<01:19,  1.55s/it]
 61%|██████    | 78/128 [02:03<01:16,  1.53s/it]
 62%|██████▏   | 79/128 [02:04<01:15,  1.53s/it]
 62%|██████▎   | 80/128 [02:06<01:13,  1.54s/it]
 63%|██████▎   | 81/128 [02:07<01:12,  1.55s/it]
 64%|██████▍   | 82/128 [02:09<01:12,  1.57s/it]
 65%|██████▍   | 83/128 [02:11<01:09,  1.55s/it]
 66%|██████▌   | 84/128 [02:12<01:08,  1.55s/it]
 66%|██████▋   | 85/128 [02:14<01:07,  1.56s/it]
 67%|██████▋   | 86/128 [02:15<01:06,  1.58s/it]
 68%|██████▊   | 87/128 [02:17<01:04,  1.58s/it]
 69%|██████▉   | 88/128 [02:19<01:03,  1.58s/it]
 70%|██████▉   | 89/128 [02:20<01:03,  1.63s/it]
 70%|███████   | 90/128 [02:22<01:01,  1.63s/it]
 71%|███████   | 91/128 [02:23<00:59,  1.61s/it]
 72%|███████▏  | 92/128 [02:25<00:57,  1.60s/it]
 73%|███████▎  | 93/128 [02:27<00:56,  1.61s/it]
 73%|███████▎  | 94/128 [02:28<00:55,  1.63s/it]
 74%|███████▍  | 95/128 [02:30<00:53,  1.62s/it]
 75%|███████▌  | 96/128 [02:31<00:50,  1.58s/it]
 76%|███████▌  | 97/128 [02:33<00:48,  1.56s/it]
 77%|███████▋  | 98/128 [02:34<00:46,  1.55s/it]
 77%|███████▋  | 99/128 [02:36<00:45,  1.55s/it]
 78%|███████▊  | 100/128 [02:38<00:42,  1.53s/it]
 79%|███████▉  | 101/128 [02:39<00:41,  1.52s/it]
 80%|███████▉  | 102/128 [02:41<00:40,  1.56s/it]
 80%|████████  | 103/128 [02:42<00:39,  1.58s/it]
 81%|████████▏ | 104/128 [02:44<00:37,  1.56s/it]
 82%|████████▏ | 105/128 [02:45<00:35,  1.56s/it]
 83%|████████▎ | 106/128 [02:47<00:34,  1.57s/it]
 84%|████████▎ | 107/128 [02:49<00:33,  1.58s/it]
 84%|████████▍ | 108/128 [02:50<00:31,  1.58s/it]
 85%|████████▌ | 109/128 [02:52<00:30,  1.61s/it]
 86%|████████▌ | 110/128 [02:53<00:29,  1.62s/it]
 87%|████████▋ | 111/128 [02:55<00:27,  1.62s/it]
 88%|████████▊ | 112/128 [02:57<00:25,  1.60s/it]
 88%|████████▊ | 113/128 [02:58<00:23,  1.56s/it]
 89%|████████▉ | 114/128 [03:00<00:21,  1.57s/it]
 90%|████████▉ | 115/128 [03:01<00:20,  1.60s/it]
